,,A. Donald McEachin,Leon Benjamin,Write-Ins,Total Votes Cast,Undervotes
,,Democratic,Republican,,,
Precinct,##pe - Central Absentee Precinct,755,56,0,811,0
Precinct,Ab - Central Absentee Precinct,4640,472,19,5131,0
Precinct,Provisional,1573,182,0,1755,0
Locality,Southampton County,1166,1628,2,2796,0
Precinct,##ev - Central Absentee Precinct,280,254,0,534,0
Precinct,##pe - Central Absentee Precinct,5,3,0,8,0
Precinct,201 - Boykins,229,267,2,498,0
Precinct,202 - Branchville,69,142,0,211,0
Precinct,301 - Capron,154,250,0,404,0
Precinct,302 - Sebrell,114,265,0,379,0
Precinct,401 - Drewryville,125,192,0,317,0
Precinct,702 - Newsoms,89,210,0,299,0
Precinct,Ab - Central Absentee Precinct,94,40,0,134,0
Precinct,Provisional,7,5,0,12,0
Locality,Surry County,1659,1654,7,3320,0
Precinct,##ev - Central Absentee Precinct,514,364,0,878,0
Precinct,##pe - Central Absentee Precinct,1,1,0,2,0
Precinct,101 - Surry,146,278,0,424,0
Precinct,201 - Bacons Castle,217,221,4,442,0
Precinct,301 - Dendron,177,258,1,436,0
Precinct,401 - Carsley,191,255,0,446,0
Precinct,501 - Claremont,117,194,1,312,0
Precinct,502 - Spring Grove,81,29,1,111,0
Precinct,AB - Central Absentee Precinct,206,46,0,252,0
Precinct,Provisional,9,8,0,17,0
Locality,Sussex County,1689,1728,11,3428,0
Precinct,##ev - Central Absentee Precinct,308,301,0,609,0
Precinct,##pe - Central Absentee Precinct,1,1,0,2,0
Precinct,101 - Waverly,270,74,10,354,0
Precinct,201 - Stony Creek,191,155,0,346,0
Precinct,301 - Courthouse,37,82,0,119,0
Precinct,302 - Newville One,24,88,0,112,0
Precinct,401 - Wakefield Firehouse,192,287,0,479,0
Precinct,501 - Henry,190,204,0,394,0
Precinct,601 - Blackwater,120,187,0,307,0
Precinct,602 - Wakefield,45,73,0,118,0
Precinct,701 - Yale,77,151,1,229,0
Precinct,702 - Newville Two,37,61,0,98,0
Precinct,AB - Central Absentee Precinct,183,57,0,240,0
Precinct,Provisional,14,7,0,21,0
